system,complex,target,structure,replicate,method,window_start_ns,window_end_ns,dt_ps,component,delta_total_kcal_mol,sd_prop,sd,sem_prop,sem,analysis_layer,source_file
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,0,20,100,TOTAL,5.29,1.5,4.36,0.11,0.31,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,20,40,100,TOTAL,-4.12,1.64,5.04,0.12,0.36,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,40,60,100,TOTAL,-2.78,1.04,4.12,0.07,0.29,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,60,80,100,TOTAL,-6.25,1.25,5.51,0.09,0.39,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,80,100,100,TOTAL,-4.66,1.35,3.69,0.1,0.26,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep2_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,0,20,100,TOTAL,-1.5,1.61,6.98,0.11,0.49,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,20,40,100,TOTAL,-9.13,0.86,5.23,0.06,0.37,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,40,60,100,TOTAL,-6.33,10.12,6.06,0.71,0.43,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,60,80,100,TOTAL,-3.65,1.09,5.04,0.08,0.36,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
BPA,BPA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,80,100,100,TOTAL,0.14,0.97,3.69,0.07,0.26,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_BPA_CSNK1D_5OKT_rep3_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
